Property_Address,Tax_Year,Property_Class,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Sale_Price
3331 FLORENCE AV,2004,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,792.0,3125.0,108.0,-87.628955,41.470262,99000
1910 WESLEY,2013,211,2-story,11.0,5.0,Full basement,0.0,No,2.0,0.0,2530.0,4158.0,77.0,-87.791214,41.8536647,164000
9524 W SHORE DR,2009,203,1-story,6.0,4.0,Partial basement,0.0,Yes,2.0,1.0,1520.0,6250.0,35.0,-87.7575548,41.718566,225000
1629 W  SHERWIN 104,2009,203,1-story,6.0,3.0,Full basement,0.0,No,2.0,0.0,1315.0,4687.0,61.0,-87.67163620000002,42.0145536,260000
418 W 97TH ST,2005,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,0.0,827.0,3150.0,53.0,-87.6346981,41.7181717,185000
3216 S WELLS ST,2013,211,2-story,11.0,4.0,Full basement,0.0,No,2.0,0.0,2184.0,3125.0,114.0,-87.6330885,41.8358217,215000
902  RIDGE SQ ELK GROVE VILLAGE,2018,299,,,,,,,1.0,,,22741.0,10.0,-87.9901887,42.00510341,39000
2909  GUSTAV AVE FRANKLIN PARK,2018,202,1.0,6.0,3.0,1.0,0.0,2.0,1.0,0.0,900.0,5580.0,98.0,-87.86617854,41.93167182,102000
735 S MADISON,2005,208,2-story,10.0,5.0,Full basement,2.0,Yes,5.0,2.0,4800.0,8500.0,4.0,-87.8702042,41.8001479,978000
3860  BORDEAUX DR NORTHBROOK,2018,204,1.0,9.0,5.0,3.0,1.0,1.0,2.0,1.0,3018.0,13253.0,45.0,-87.87571581,42.14304977,552000
351  NEWGATE CT SCHAUMBURG,2018,299,,,,,,,1.0,,,1159725.0,10.0,-88.07316963,42.02498236,128509
5546 S KOLIN AVE,2014,203,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,1046.0,3780.0,51.0,-87.7320266,41.7916722,149900
201 N WESTSHORE DR1101,2015,299,,,,,,,,,,,,-87.6160537,41.8864156,855000
9635  LARAMIE AVE SKOKIE,2018,295,3.0,6.0,3.0,2.0,0.0,1.0,2.0,1.0,2138.0,1486.0,30.0,-87.75658104,42.05627806,298250
1427 HULL AVE,2013,203,1-story,5.0,3.0,Full basement,1.0,No,2.0,1.0,1650.0,6500.0,51.0,-87.87582259999998,41.8589113,180000
3623 W 85TH PL,2003,203,?,7.0,4.0,Full basement,0.0,No,1.0,1.0,1165.0,5040.0,59.0,-87.71297059999998,41.73755739999999,139000
6457 N DAMEN AVE,2012,203,?,8.0,3.0,Partial basement,1.0,Yes,1.0,1.0,1732.0,4981.0,130.0,-87.6799011,41.9995382,200000
951  BRUNSWICK CIR SCHAUMBURG,2018,299,,,,,,,1.0,,,1064050.0,10.0,-88.06762997,42.00897109,107500
400 E RANDOLPH ST 2525,2009,299,,,,,,,,,,,,-87.61686379999998,41.88500300000001,232500
1707 W WILLOW LN MOUNT PROSPECT,2018,203,1.0,7.0,3.0,1.0,0.0,1.0,1.0,1.0,1262.0,7200.0,46.0,-87.96123527,42.04406554,215000
9518  DEE RD DES PLAINES,2018,299,,,,,,,1.0,,,12871.0,10.0,-87.85550034,42.05214717,95000
198  FOREST ST WINNETKA,2018,206,2.0,9.0,5.0,1.0,2.0,2.0,3.0,1.0,3126.0,13200.0,92.0,-87.7312314,42.09636137,1280000
455  ANTHONY TRL NORTHBROOK,2018,203,1.0,6.0,4.0,2.0,0.0,1.0,2.0,0.0,1659.0,20000.0,64.0,-87.85270384,42.14454451,225000
12600 S HARLEM AVE,2003,299,,,,,,,,,,,,-87.7969762,41.6622546,116000
10309 S HOXIE,2007,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,888.0,4248.0,55.0,-87.56061640000001,41.7078005,135000
12836 S CARPENTER,2012,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,1.0,1152.0,4650.0,49.0,-87.64790440000002,41.6669148,104000
2315 S GOEBBERT RD ARLINGTON HEIGHTS,2018,299,,,,,,,1.0,,,622080.0,10.0,-87.97368476,42.04242861,140000
3635 N NORA,2007,205,2-story,8.0,5.0,Partial basement,0.0,No,2.0,0.0,1852.0,3785.0,88.0,-87.80182640000002,41.9463908,387500
9701 S LA SALLE ST,2003,207,2-story,6.0,4.0,Full basement,0.0,Yes,2.0,1.0,1440.0,3536.0,43.0,-87.62707359999997,41.7179081,154000
2321 N BOSWORTH AVE,2014,299,,,,,,,,,,,,-87.666572,41.924015,360000
55 EAST ERIE 3501,2005,299,,,,,,,,,,,,-87.6261578,41.8937613,1625000
9210 S HOMAN AVE,2005,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,1.0,1235.0,6250.0,30.0,-87.70715870000002,41.7257013,244000
4736 S SHIELDS AVE,2007,234,1-story,5.0,2.0,Partial basement,0.0,Yes,1.0,0.0,1014.0,3383.0,49.0,-87.63485229999998,41.8079241,125000
8147  KILPATRICK AVE SKOKIE,2018,211,2.0,10.0,6.0,1.0,0.0,2.0,2.0,0.0,2455.0,6150.0,57.0,-87.74464927,42.02945931,235000
2821 S KEDVALE,2007,202,1-story,4.0,2.0,Full basement,2.0,No,1.0,0.0,800.0,3125.0,118.0,-87.72777590000003,41.8398423,155000
5201 S KILDARE AVE,2005,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1120.0,3384.0,23.0,-87.7303633,41.7985079,250000
1300  CENTRAL ST EVANSTON,2018,299,,,,,,,1.0,,,21914.0,10.0,-87.68979149,42.06395588,195000
46  VALLEY DR BARRINGTON HILLS,2018,278,2.0,9.0,4.0,1.0,1.0,1.0,2.0,0.0,2172.0,243936.0,40.0,-88.19606359999999,42.1408934,700000
420 S CLINTON ST 704,2005,299,,,,,,,,,,,,-87.6412332,41.876041,275000
863  WINCHESTER LN NORTHBROOK,2018,295,2.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,2592.0,3525.0,26.0,-87.85094012,42.13762623,480000
5421 S KEELER AV,2003,203,1-story,4.0,3.0,Full basement,0.0,No,1.0,0.0,1112.0,3780.0,52.0,-87.72778559999998,41.7943411,231000
1507 E 53RD ST 306,2013,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,0.0,624.0,3100.0,60.0,-87.58876190000002,41.7993982,19000
1417 N BOSWORTH 1,2013,299,,,,,,,,,,,,-87.6661163,41.9075966,411750
14750 KOSTNER AVE,2015,207,2-story,7.0,4.0,Full basement,1.0,No,1.0,0.0,1450.0,7600.0,51.0,-87.727824,41.6239928,143000
525 N ADA ST     21,2003,299,,,,,,,,,,,,-87.6605012,41.8916345,210000
855 W ERIE 117,2011,299,,,,,,,,,,,,-87.6491345,41.8929909,380000
400 W ONTARIO,2005,299,,,,,,,,,,,,-87.638723,41.8934007,410000
2506 W ALGONQUIN RD ROLLING MEADOWS,2018,299,,,,,,,1.0,,,744957.0,10.0,-88.01128622,42.06046303,27000
5649 S KENNETH AVE,2007,203,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,1015.0,3780.0,49.0,-87.73379229999998,41.7898424,325000
1959  BIRCH ST DES PLAINES,2018,204,1.0,7.0,4.0,1.0,2.0,1.0,2.0,0.0,1954.0,7800.0,58.0,-87.87678709,42.01794738,357500
314 LATHROP 407,2004,299,,,,,,,,,,,,-87.81409709999998,41.8808114,151500
612 N GROVE AV,2003,206,2-story,8.0,4.0,Full basement,0.0,Yes,3.0,1.0,2306.0,8550.0,112.0,-87.7958722,41.8969201,547000
1646 S CLINTON AVE,2004,211,2-story,8.0,4.0,Slab basement,0.0,No,2.0,0.0,2168.0,4725.0,87.0,-87.79767779999997,41.8562031,304000
4846 S LARAMIE AVE,2012,211,2-story,8.0,4.0,Full basement,0.0,No,2.0,0.0,2142.0,3125.0,109.0,-87.75316070000002,41.8044717,140000
2736 N HAMPDEN CT,2011,299,,,,,,,,,,,,-87.64237750000002,41.9315773,480000
14830 KETELAAR DR,2004,299,,,,,,,,,,,,-87.73569859999998,41.6229123,68900
1353  MAROON DR ELGIN,2018,295,2.0,7.0,3.0,2.0,0.0,1.0,1.0,1.0,1445.0,5291.0,27.0,-88.23939108,42.02545542,133500
15705 RAVINIA 101,2006,299,,,,,,,,,,,,-87.8589162,41.6044726,215000
54 SHORT ST,2007,299,,,,,,,,,,,,-87.94820370000002,41.7935049,748000
9955  LINDA LN DES PLAINES,2018,299,,,,,,,1.0,,,1459161.0,10.0,-87.86598915,42.06143102,40000
2223 E 68TH ST 12,2005,299,,,,,,,,,,,,-87.5702885,41.7713013,95000
1629 SOUTH PRAIRIE AVE,2009,299,,,,,,,,,,,,-87.62054300000001,41.859473,512500
1702  MILL ST DES PLAINES,2018,299,,,,,,,1.0,,,36577.0,10.0,-87.88197113,42.04103623,114900
27  TYLER CT STREAMWOOD,2018,299,,,,,,,1.0,,,1053498.0,10.0,-88.19552477,42.02129232,179000
18214 LOCUST ST,2004,207,2-story,7.0,3.0,Partial basement,0.0,No,1.0,1.0,1664.0,6000.0,41.0,-87.5636476,41.56418950000001,183500
124 W POLK UNIT 604,2003,299,,,,,,,,,,,,-87.6313547,41.8723674,235000
143 SUNDANCE RD,2007,207,2-story,7.0,3.0,Full basement,0.0,Yes,2.0,1.0,1875.0,9000.0,7.0,-87.7186085,41.5236686,233000
11020 EAGLE DR,2014,299,,,,,,,,,,,,-87.81899990000002,41.690523,151500
14436 S KENWOOD,2006,234,multilevel,6.0,3.0,Partial basement,0.0,Yes,1.0,0.0,1107.0,4920.0,38.0,-87.5848412,41.6357006,145000
8344 N NEWLAND AVE NILES,2018,202,1.0,5.0,2.0,3.0,1.0,2.0,1.0,0.0,841.0,7791.0,67.0,-87.80001182,42.03312551,215000
4745 N RAVENSWOOD AV,2005,299,,,,,,,,,,,,-87.673869,41.9684846,239500
7018  PALMA LN MORTON GROVE,2018,203,1.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,1293.0,6275.0,61.0,-87.80189125,42.05454355,142800
847  DEWEY AVE EVANSTON,2018,203,1.0,6.0,4.0,2.0,0.0,2.0,1.0,1.0,1608.0,6970.0,62.0,-87.69677223,42.03357203,350000
370  WESTERN AVE DES PLAINES,2018,299,,,,,,,1.0,,,24446.0,10.0,-87.89523544,42.04615864,205000
1800  HUNTINGTON BLVD HOFFMAN ESTATES,2018,299,,,,,,,1.0,,,269341.0,10.0,-88.12370382,42.05729393,119000
4724 W JACKSON,2004,207,2-story,6.0,3.0,Full basement,0.0,No,1.0,1.0,1266.0,4125.0,56.0,-87.74378809999997,41.8770714,140000
1818 W. SUPERIOR,2007,299,,,,,,,,,,,,-87.67292890000002,41.8952764,259000
6416 N GLENWOOD,2015,205,2-story,8.0,4.0,Full basement,0.0,No,2.0,1.0,2178.0,4612.0,113.0,-87.6657612,41.9986732,445000
9384  HOME CIR DES PLAINES,2018,295,2.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,1501.0,3115.0,54.0,-87.84931744,42.05022339,1
6230 S TROY ST,2003,203,1-story,6.0,3.0,Full basement,1.0,No,1.0,0.0,1248.0,3750.0,83.0,-87.7022315,41.7798532,174000
10161 S ALBANY,2011,203,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1306.0,5000.0,56.0,-87.69813149999997,41.7076141,125000
9929 S EXCHANGE AVE,2010,202,1-story,5.0,2.0,crawlspace,1.0,No,1.0,0.0,968.0,4515.0,134.0,-87.5520651,41.7145704,40000
2038  RAND RD PALATINE,2018,299,,,,,,,1.0,,,693128.0,10.0,-88.03152938,42.14535383,128000
7400 W LAWRENCE AVE HARWOOD HEIGHTS,2018,299,,,,,,,1.0,,,133779.0,10.0,-87.81273982,41.96789081,195000
799  GRACELAND AVE DES PLAINES,2018,299,,,,,,,1.0,,,94812.0,10.0,-87.89188007,42.03818952,271500
1911 N NEWCASTLE,2011,203,1-story,5.0,3.0,Slab basement,0.0,No,1.0,0.0,1339.0,3750.0,73.0,-87.7958722,41.9148627,220000
1262 W BRYN MAWR AVE 2,2013,299,,,,,,,,,,,,-87.6626261,41.9838299,438000
833 W BELLE PLAINE AVE,2015,299,,,,,,,,,,,,-87.650932,41.95694500000001,295000
1320 N CLEVELAND Z,2004,299,,,,,,,,,,,,-87.6411813,41.9063292,359000
989  ELM ST WINNETKA,2018,206,2.0,9.0,5.0,3.0,1.0,1.0,2.0,1.0,2646.0,9350.0,119.0,-87.74131764,42.10623589,745000
7425 S DREXEL AV,2005,202,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,922.0,6154.0,83.0,-87.6024178,41.7596781,92000
1808 S MICHIGAN AVE 31,2005,299,,,,,,,,,,,,-87.6244091,41.8574779,331500
6645 S UNIVERSITY,2004,205,2-story,6.0,3.0,Full basement,0.0,No,2.0,0.0,1452.0,3125.0,109.0,-87.59818990000002,41.7736915,263200
3144  OLIVER LN NORTHBROOK,2018,208,2.0,10.0,5.0,1.0,1.0,1.0,4.0,1.0,4446.0,12960.0,13.0,-87.85799517,42.11102271,1025000
5001  MADISON ST SKOKIE,2018,299,,,,,,,1.0,,,12542.0,10.0,-87.7527457,42.03175859,90000
1431  COLUMBINE DR SCHAUMBURG,2018,204,1.0,9.0,4.0,4.0,2.0,1.0,2.0,1.0,2318.0,26518.0,54.0,-88.04312072,42.03721856,390000
13519 AVENUE K,2003,202,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,966.0,4375.0,53.0,-87.5347668,41.6493968,129900
807  DAVIS ST EVANSTON,2018,299,,,,,,,1.0,,,132963.0,10.0,-87.68260248,42.04766902,1325000
7059  LONGMEADOW LN HANOVER PARK,2018,204,1.0,7.0,4.0,2.0,1.0,1.0,2.0,0.0,1842.0,15174.0,52.0,-88.13565178,42.00058473,210000
110 ELGIN AV,2006,211,2-story,8.0,3.0,Full basement,0.0,Yes,2.0,0.0,1920.0,4455.0,117.0,-87.8059074,41.88489129999999,450000
59 HUNTINGTON RD,2006,207,2-story,7.0,4.0,Slab basement,0.0,Yes,2.0,1.0,1869.0,8630.0,30.0,-87.71310179999998,41.5039235,189000
9615 S ALBANY AVE,2015,203,?,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1411.0,6122.0,67.0,-87.69903620000002,41.7181906,125000
3000  FLORAL DR NORTHBROOK,2018,204,1.0,9.0,5.0,3.0,1.0,1.0,2.0,1.0,2697.0,15264.0,45.0,-87.85363099,42.1127586,540000
8241 N CARROLTON CT HANOVER PARK,2018,207,2.0,8.0,4.0,2.0,0.0,1.0,1.0,1.0,1688.0,14803.0,45.0,-88.13644187,42.01760092,218000
1844 N SEDGWICK,2010,299,,,,,,,,,,,,-87.6390053,41.9159035,899000
5628 S TRIPP,2005,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1146.0,3780.0,56.0,-87.72948769999998,41.790457,279900
8620  WAUKEGAN RD MORTON GROVE,2018,299,,,,,,,1.0,,,15541.0,10.0,-87.79951387,42.03830588,105000
642  HAMPTON CIR ELGIN,2018,207,2.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,1712.0,6985.0,21.0,-88.24840243,42.02362728,171000
500 W MADISON ST,2012,211,2-story,10.0,4.0,Full basement,0.0,Yes,2.0,0.0,2172.0,3125.0,115.0,-87.6403882,41.8823062,192000
4155 N OZANAM AVE NORRIDGE,2018,202,1.0,5.0,2.0,1.0,0.0,2.0,1.0,0.0,884.0,3780.0,65.0,-87.82161565,41.9558385,155000
1305 S MICHIGAN AVENUE,2012,299,,,,,,,,,,,,-87.6236899,41.8654091,15000
17134 RIDGEWOOD,2007,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,1.0,1210.0,6300.0,54.0,-87.54574699999998,41.58371210000001,135000
1926  SYRACUSE LN SCHAUMBURG,2018,203,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1386.0,9159.0,45.0,-88.12817167,42.01173582,215000
708  PICARDY CIR NORTHBROOK,2018,295,5.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1483.0,3483.0,29.0,-87.88343809999998,42.14060954,269000
8251 N KILBOURN AVE SKOKIE,2018,278,2.0,8.0,4.0,1.0,0.0,1.0,2.0,1.0,2747.0,5781.0,59.0,-87.73976318,42.03137373,600000
10513 S KEETER AVE,2007,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,993.0,6600.0,51.0,-87.7479528,41.71997800000001,235000
8216 MASON AVE,2013,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,1.0,1248.0,6150.0,38.0,-87.7698184,41.7424805,208000
9737  FOX GLEN DR NILES,2018,299,,,,,,,1.0,,,668143.0,10.0,-87.85351259,42.05698428,69000
3915 N ODELL,2006,202,1-story,7.0,3.0,crawlspace,0.0,No,1.0,0.0,870.0,3810.0,84.0,-87.8105929,41.9510979,253000
1614 S FAIRVIEW AVE PARK RIDGE,2018,205,2.0,8.0,4.0,1.0,0.0,1.0,2.0,0.0,2180.0,6250.0,69.0,-87.83435408,41.99036818,549000
303 SELBORNE RD,2003,207,2-story,7.0,3.0,Full basement,1.0,Yes,1.0,1.0,1743.0,11822.0,57.0,-87.81649709999998,41.8371246,352000
2450 W 95TH,2009,203,1-story,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1327.0,4563.0,49.0,-87.6833692,41.7209798,205000
1778 W ETHANS GLEN DR PALATINE,2018,295,2.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1876.0,2277.0,13.0,-88.08610638,42.13114038,250000
325 E 90TH PL,2007,207,2-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1368.0,3125.0,50.0,-87.6164974,41.7298886,194000
710 E ALGONQUIN RD DES PLAINES,2018,202,1.0,6.0,3.0,2.0,0.0,2.0,1.0,1.0,999.0,6977.0,64.0,-87.90628871,42.03111381,227000
2311 N SUNSET RD PALATINE,2018,203,1.0,5.0,3.0,3.0,0.0,2.0,2.0,0.0,1186.0,10716.0,59.0,-88.05690708,42.15201314,215000
14  KING ARTHUR CT NORTHLAKE,2018,299,,,,,,,1.0,,,199220.0,10.0,-87.91267076,41.9217403,35100
3126 HOLDEN CR,2003,278,2-story,7.0,4.0,Partial basement,0.0,Yes,2.0,1.0,1760.0,6500.0,10.0,-87.6915609,41.496763,225000
1106 S ROBERT DR MOUNT PROSPECT,2018,203,1.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,1040.0,10010.0,53.0,-87.95644891,42.0456095,254500
5455 N SHERIDAN RD,2006,299,,,,,,,,,,,,-87.654489,41.981675,172000
4153 W 25TH STREET,2010,211,2-story,12.0,6.0,Full basement,0.0,No,2.0,0.0,1764.0,4687.0,101.0,-87.7282598,41.845795,165000
105  WASHINGTON AVE STREAMWOOD,2018,207,2.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1613.0,7921.0,31.0,-88.18953527,42.02311019,150000
9131 S SPAULDING,2011,202,1-story,5.0,3.0,crawlspace,0.0,No,1.0,1.0,748.0,4687.0,64.0,-87.7041947,41.7268476,65000
5418 N LAMON AVE,2015,205,2-story,4.0,3.0,Full basement,0.0,No,1.0,0.0,1189.0,5597.0,71.0,-87.75108409999999,41.9806034,379900
4525 S KEATING,2003,203,1-story,4.0,3.0,Slab basement,0.0,No,1.0,0.0,1112.0,3780.0,53.0,-87.741753,41.8105407,165000
2556-58 W CHICAGO AV,2005,211,3-story,10.0,5.0,Full basement,2.0,Yes,4.0,1.0,3572.0,3000.0,4.0,-87.691579,41.8959449,920000
2736 S ST LOUIS,2005,211,2-story,8.0,4.0,Full basement,0.0,No,2.0,0.0,1360.0,3000.0,111.0,-87.7125087,41.8414705,241000
1873  BENNETT PL DES PLAINES,2018,203,1.0,5.0,3.0,4.0,0.0,2.0,1.0,0.0,1005.0,6600.0,60.0,-87.87759287,42.02321925,91000
1034  SHARON LN SCHAUMBURG,2018,203,1.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0,1140.0,9421.0,47.0,-88.10682124,42.02238031,246000
521  CHICAGO AVE EVANSTON,2018,295,3.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,2205.0,823.0,13.0,-87.67766941,42.02788531,485000
544 N MILWAUKEE 203,2014,299,,,,,,,,,,,,-87.64928640000002,41.8919865,449000
4656 N MAGNOLIA,2011,299,,,,,,,,,,,,-87.66156099999998,41.967023,253000
3732 N JANSSEN AVE A,2013,299,,,,,,,,,,,,-87.6655686,41.9498666,493000
2741 N CENTRAL PK,2005,202,1-story,4.0,2.0,Slab basement,0.0,Yes,1.0,0.0,888.0,3125.0,109.0,-87.7169272,41.9313033,222000
2291  BIRCH ST DES PLAINES,2018,278,2.0,10.0,5.0,1.0,2.0,1.0,5.0,0.0,2799.0,11543.0,6.0,-87.87708921,42.01179935,400000
4633 S LACROSSE AVE,2009,203,1-story,4.0,2.0,Full basement,0.0,Yes,1.0,0.0,1008.0,3540.0,54.0,-87.7441307,41.8084504,144000
1740 E MISSION HILLS RD NORTHBROOK,2018,299,,,,,,,1.0,,,29651.0,10.0,-87.87187665,42.1211631,300000
9813 S SANGAMON,2005,202,1-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,852.0,8333.0,117.0,-87.6464938,41.7154578,125000
1715  PENFOLD PL NORTHBROOK,2018,278,1.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,1206.0,10400.0,57.0,-87.83391935,42.12167472,235000
925  SKOKIE RIDGE DR GLENCOE,2018,206,2.0,9.0,5.0,1.0,2.0,1.0,2.0,1.0,3151.0,12240.0,76.0,-87.77175392,42.13589545,844000
2288 W 184TH ST,2006,234,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1383.0,6800.0,23.0,-87.5626767,41.561218200000006,187000
4525 CLONARD PL,2008,278,2-story,9.0,4.0,Full basement,1.0,Yes,2.0,2.0,3788.0,11664.0,1.0,-87.7263043,41.5195277,523020
716  LITTLETON TRL ELGIN,2018,299,,,,,,,1.0,,,2658600.0,10.0,-88.23335571,42.02868474,195000
742  EBBTIDE PT SCHAUMBURG,2018,299,,,,,,,1.0,,,107221.0,10.0,-88.06073818,42.03365002,150100
5019  FITCH AVE SKOKIE,2018,206,2.0,8.0,4.0,1.0,2.0,1.0,3.0,1.0,2365.0,6324.0,62.0,-87.75363084,42.01065983,400000
9529  BRONX AVE SKOKIE,2018,299,,,,,,,1.0,,,41439.0,10.0,-87.75059855,42.05434141,194000
8246 N OSCEOLA AVE NILES,2018,234,4.0,7.0,3.0,3.0,0.0,2.0,1.0,1.0,1248.0,6188.0,48.0,-87.81288249,42.03110976,310000
1117 S HAMLIN AVE PARK RIDGE,2018,206,2.0,9.0,4.0,1.0,2.0,1.0,3.0,1.0,3302.0,6200.0,67.0,-87.85018515,41.9966771,682500
737  RIDGE AVE EVANSTON,2018,299,,,,,,,1.0,,,25071.0,10.0,-87.68569622,42.031468,186000
125 E 13TH ST,2005,299,,,,,,,,,,,,-87.62288000000002,41.8655862,205600
7848 N KEELER AVE SKOKIE,2018,206,2.0,8.0,3.0,1.0,0.0,1.0,3.0,0.0,2496.0,5535.0,63.0,-87.73342799,42.02404519,409801
1116  OLD MILL DR PALATINE,2018,278,2.0,8.0,4.0,4.0,1.0,1.0,2.0,1.0,2224.0,9000.0,41.0,-88.04349508,42.13355673,349900
7224 S LANGLEY,2003,234,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,0.0,988.0,3125.0,32.0,-87.60816590000002,41.7632555,99000
662  TAYLOR ST HANOVER PARK,2018,295,2.0,6.0,3.0,2.0,0.0,2.0,1.0,1.0,1179.0,3017.0,30.0,-88.12602465,42.0049286,135889
1719  SEWARD ST EVANSTON,2018,203,1.0,6.0,2.0,1.0,0.0,1.0,2.0,0.0,832.0,5616.0,64.0,-87.69727714,42.0293154,350000
4540  MULFORD ST SKOKIE,2018,203,1.0,6.0,4.0,1.0,2.0,1.0,2.0,0.0,1432.0,8244.0,59.0,-87.74189449,42.02297008,243000
2020 W GRAND C,2010,299,,,,,,,,,,,,-87.67791899999997,41.891022,340000
1947  PENFOLD PL NORTHBROOK,2018,278,1.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,1423.0,10140.0,64.0,-87.83322051,42.11759869,407500
3201  DELL PL GLENVIEW,2018,278,2.0,8.0,4.0,4.0,1.0,1.0,2.0,1.0,3502.0,10207.0,59.0,-87.83815114,42.07386566,400000
1350 W ROSEDAVE AVE,2005,299,,,,,,,,,,,,-87.66467,41.989274,415000
6040 N OAKLEY,2014,202,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,930.0,3780.0,89.0,-87.6875183,41.9916479,244000
393 DES PLAINES AVE,2010,203,1-story,6.0,3.0,Partial basement,1.0,No,1.0,0.0,1214.0,9300.0,54.0,-87.82239940000002,41.8403033,225000
16015 WABASH AVE,2012,234,multilevel,6.0,3.0,Partial basement,1.0,Yes,1.0,1.0,1260.0,8741.0,43.0,-87.6145882,41.6039993,99900
12  KRISTIN CIR SCHAUMBURG,2018,299,,,,,,,1.0,,,1069077.0,10.0,-88.08220681,42.05674288,179900
1542 S CUYLER,2010,211,?,7.0,5.0,Full basement,0.0,Yes,2.0,0.0,2395.0,3780.0,86.0,-87.7827703,41.858322,119900
19931 JUNIPER,2007,202,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,928.0,3100.0,105.0,-87.541812,41.5331662,155000
6043 N CLAREMONT,2008,211,2-story,10.0,4.0,Full basement,0.0,No,2.0,0.0,2512.0,3780.0,79.0,-87.688133,41.9917391,350000
1833  ASHBURY CT PALATINE,2018,299,,,,,,,1.0,,,141457.0,10.0,-88.08639013,42.08353647,222000
900  ROY AVE MELROSE PARK,2018,203,1.0,5.0,3.0,2.0,0.0,2.0,1.0,0.0,1236.0,8840.0,60.0,-87.89959309,41.92913671,105777
P O BOX 2528,2005,205,2-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1320.0,3125.0,122.0,-87.6355995,41.506146,112000
1176  AZALEA LN PALATINE,2018,299,,,,,,,1.0,,,1498000.0,10.0,-88.01664169,42.14821087,86000
3531 N OLEANDER AVE,2014,203,?,5.0,3.0,Full basement,0.0,Yes,1.0,0.0,1012.0,3750.0,78.0,-87.8152683,41.9442456,165000
10110 S CLIFTON PK AVE,2014,234,multilevel,7.0,4.0,Partial basement,0.0,Yes,2.0,1.0,1802.0,6500.0,48.0,-87.71035340000002,41.709277,265000
309  LYTLE DR PALATINE,2018,203,1.0,6.0,3.0,3.0,0.0,2.0,2.0,0.0,1397.0,8481.0,51.0,-88.0171859,42.1159688,275000
2103 W HAVEN ST MOUNT PROSPECT,2018,204,5.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,2359.0,9125.0,64.0,-87.97069882,42.05676474,370000
746 S OAK PARK AVE,2012,205,2-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1265.0,4960.0,102.0,-87.79374969999998,41.8744234,438000
9018 W CHURCH ST DES PLAINES,2018,295,2.0,7.0,3.0,1.0,0.0,1.0,1.0,1.0,1672.0,2995.0,50.0,-87.85042069,42.04721786,148500
13626 DEERPATH DR,2004,203,1-story,7.0,3.0,Partial basement,0.0,Yes,2.0,0.0,1793.0,10625.0,28.0,-87.8211623,41.6429891,200000
2767  EMBERS LN ARLINGTON HEIGHTS,2018,299,,,,,,,1.0,,,964958.0,10.0,-87.97009381,42.03459823,163275
1013  WESLEY AVE EVANSTON,2018,211,2.0,11.0,5.0,1.0,0.0,2.0,2.0,3.0,3094.0,6607.0,54.0,-87.69103652,42.0363778,606500
3415 W 38TH ST,2003,211,2-story,8.0,4.0,crawlspace,0.0,No,2.0,0.0,1584.0,3100.0,102.0,-87.710061,41.8240973,165000
